Shipping_Address_ID,Shipping_Address,City,State,Postal_Code,Country
0,"PSC 2224, Box 2284
APO AP 65880",Jordanborough,Arkansas,27879,Kuwait
1,"83909 Johnson Mall
Tranberg, MS 99017",Lake Ginatown,Georgia,39336,Saint Vincent and the Grenadines
2,"82101 Johnson Flat
West Ryan, MS 29075",Sarahville,Ohio,30845,France
3,"4542 Gary Lane
South Alexander, VI 27671",Lake Michelle,Arkansas,30955,Sao Tome and Principe
4,"6794 Caroline Crescent
East Karlside, GU 81379",Olsenville,Mississippi,45429,Croatia
5,"PSC 0419, Box 9123
APO AP 47991",Priceville,South Dakota,96819,Peru
6,"9400 Angela Motorway
Joannaborough, OR 84735",West Peter,Nevada,82007,Solomon Islands
7,"63672 Raymond Mill
Cobbview, SD 63353",East Kevin,Maine,52315,Ireland
8,"859 Cohen Brook Apt. 295
Hardyfort, FM 49293",Crystalborough,New Jersey,27390,Portugal
9,"1844 Amy Court
Cristinaport, FM 00824",Heathermouth,Nebraska,30613,Australia
10,"2263 Campbell Ville Apt. 134
North Theresa, MD 97457",New Garybury,Washington,58038,Myanmar
11,"0489 Tony Burg Suite 682
Brentland, LA 95298",Christopherview,Kentucky,22744,Korea
12,"676 Maurice Path
Lake Lisaborough, SD 06695",East Nathanielville,Maryland,59258,Reunion
13,"3861 Michael Dale Apt. 112
South Lindafort, MT 64927",Olsonchester,North Dakota,1711,Bolivia
14,"224 Santos Center Suite 540
West Matthewshire, AR 69104",North Janet,Vermont,25394,Lebanon
15,"37424 Nancy Walk
North Tony, VI 98230",Smithville,West Virginia,58925,Estonia
16,"6454 Christopher Drive
Wallacemouth, WA 90990",Lake Jasonville,Kentucky,31393,Tunisia
17,"107 Richard Hill
South Georgechester, MH 31843",South Katherineburgh,Ohio,26992,Wallis and Futuna
18,"247 Mary Pine
Ericmouth, WI 87873",Christopherside,Oklahoma,22897,Trinidad and Tobago
19,"42205 Young Drive
South Michaelaside, MS 46008",New Joelport,North Carolina,48329,Australia
20,"77634 Timothy Drive
Port Robertland, GU 28486",Roberthaven,Virginia,33098,Algeria
21,"263 David Haven
Amymouth, CA 00599",South Randallstad,New York,44171,Macao
22,"643 Thomas Mountains Apt. 386
East Christophermouth, KS 00675",Browningstad,New York,88315,Wallis and Futuna
23,"832 Matthew Streets Apt. 793
Juliaberg, DC 68369",Angelaborough,Vermont,61751,Cameroon
24,"4973 Megan Light
North Kelly, NV 23385",South Scott,Kentucky,4853,Montenegro
25,"272 Allen Roads
East Mitchell, AS 78518",Christopherchester,New Jersey,15543,Turkmenistan
26,"445 James Fall
Lake Kimfurt, OK 68689",Davisshire,Mississippi,80852,Martinique
27,"USNS Wong
FPO AE 10909",South Dennis,Delaware,636,Isle of Man
28,"7745 Francis Station
Derekhaven, WI 19254",Lisashire,Kansas,41079,Northern Mariana Islands
29,"80056 Melissa Gardens
Bryanthaven, OK 71796",Williamsberg,Washington,79852,Andorra
30,"2313 Martinez Road Suite 582
Port William, CA 01786",Longchester,Georgia,15961,Palestinian Territory
31,"9656 Jessica Mission Apt. 152
East Stephenstad, AZ 49785",North Rebecca,Minnesota,12710,Antarctica (the territory South of 60 deg S)
32,"75156 Jones Turnpike Suite 326
Brittanyburgh, VT 16067",West Katherine,Kentucky,37349,Germany
33,"9370 Gonzalez Ferry
Morrisonfort, TX 76548",Kellyland,Nebraska,16075,Swaziland
34,"3423 Donald Lights Apt. 169
Kimbury, HI 42823",Michaelside,South Dakota,96819,Ecuador
35,"091 Cruz Avenue Apt. 406
Reidborough, CA 31440",East Mary,Idaho,59740,Madagascar
36,"402 Michael Union
Mcfarlandstad, PA 26755",Pamelaland,Alaska,80134,Cape Verde
37,"5111 Miller Circles Apt. 058
North Kathryn, AK 69280",East Matthewview,Ohio,15153,Mauritania
38,"64360 Bullock Branch
Lake Gloriachester, NM 02328",South Mark,Michigan,38760,Singapore
39,"Unit 7171 Box 8403
DPO AE 63505",Donaldmouth,New Jersey,64195,Guadeloupe
40,"907 Hudson Valley Apt. 615
Christopherhaven, NY 43832",Petersonberg,Mississippi,42074,Iraq
41,"9944 Courtney Locks Suite 476
Mcgrathside, FL 98564",Josephfurt,New Hampshire,81839,Saint Martin
42,"02362 Holmes Mills
Lake Joshuastad, MA 11967",Alexandertown,Pennsylvania,50782,Benin
43,"7891 Debra Green Suite 310
Sethshire, HI 06625",Perrymouth,Colorado,54469,Grenada
44,"92465 Heidi Dam Apt. 283
Lake Moniquefurt, MI 85122",West Kristina,Minnesota,62890,Grenada
45,"541 White Turnpike Apt. 850
Johnsonfurt, TN 26786",East Lorihaven,Indiana,62367,Svalbard & Jan Mayen Islands
46,"60278 Stephanie Pike
South Marisafurt, FL 19548",Sharonside,Rhode Island,14521,Kyrgyz Republic
47,"187 Hansen Spur
North Mirandaberg, OK 44149",Vincentside,Massachusetts,34835,Philippines
48,"8357 Tamara Loaf Apt. 358
North Mauriceberg, PR 61943",East David,Vermont,91637,Brunei Darussalam
49,"79194 Morrow Well
Prestonport, FM 19396",Lake Hannah,Georgia,32130,Central African Republic
50,"9515 Brandon Hollow Apt. 646
Port Diana, MT 57151",New Erin,Illinois,34188,Samoa
51,"350 Christopher Rapid Apt. 545
East Codyville, PA 54646",South Codyside,Montana,42481,Sri Lanka
52,"3728 Madison Mills Apt. 733
Omarbury, AR 64349",Bauermouth,New York,6764,Malta
53,"55226 Buckley Bypass Apt. 742
Debraberg, TN 41373",West James,Ohio,64475,Saint Pierre and Miquelon
54,"07728 David Shores
Lake Monica, ME 85705",Kellyhaven,Alaska,76818,Cyprus
55,"13896 Howard Plaza
East Jonathanside, SC 55550",Thomasstad,South Carolina,86677,Estonia
56,"8895 Diaz Crossing
South Christianville, NM 60015",Jorgemouth,California,7358,Christmas Island
57,"936 Wade Forks
Ramirezstad, SD 99359",Finleyfort,Kentucky,43084,Niue
58,"71984 Karen Street Apt. 171
Lesliefurt, ND 77763",Ethanberg,North Dakota,12868,Cocos (Keeling) Islands
59,"42795 Arthur Islands Apt. 820
South Michaelport, RI 55377",Simpsonbury,Virginia,81958,Slovakia (Slovak Republic)
60,"40759 Watkins Plains Apt. 682
East Melissa, OH 74338",East Brittany,Montana,52577,Haiti
61,"7207 Clayton Union Suite 563
South Thomaston, NM 81088",West Kelseyberg,Missouri,98589,Oman
62,"4632 April Plains
Clarkborough, PA 32789",Lake Ericaland,West Virginia,22876,Fiji
63,"006 Gonzalez Green Apt. 564
Roberttown, ME 99179",New Kimberly,Vermont,89170,Afghanistan
64,"USCGC Roth
FPO AP 08030",Grayside,Vermont,38797,Netherlands
65,"4689 Amy Square Suite 157
Townsendfort, NC 00640",South Kelly,Alaska,73073,Serbia
66,"20413 Underwood Place
Rodgersshire, IN 16427",Lake Cathyland,South Carolina,63249,Aruba
67,"PSC 0925, Box 8765
APO AP 82932",West Tyler,Tennessee,71894,Luxembourg
68,"1512 Mullins Flats
West Henrytown, WA 10852",North Heidibury,Florida,84406,Puerto Rico
69,"5903 Ashley Mount
Michaelmouth, PW 98130",New Rogerbury,Colorado,53321,Andorra
70,"4362 Holmes Plains Apt. 465
West Andrea, VT 61417",Lake Tanner,Delaware,98044,Lithuania
71,"6921 Huerta Inlet
North Emily, NH 51583",East Michael,Massachusetts,32935,Tanzania
72,"0673 James Meadows
West Jeanland, KS 05746",Port Tanyashire,Alaska,40100,Niue
73,"87845 Miller Island
New Mario, VI 24070",North James,New Hampshire,89792,Germany
74,"09460 Brenda Centers Suite 638
South Gabriel, WI 17296",Melissamouth,Pennsylvania,54307,Cambodia
75,"671 Blackwell Groves Apt. 944
Taylorchester, PW 80645",Lake Ruth,New Mexico,22435,Jordan
76,"70284 Mcpherson Avenue
Vasquezmouth, GU 15788",East Robert,Nebraska,38193,British Virgin Islands
77,"73060 Dana Tunnel Suite 354
West Paula, NM 36379",Brandymouth,Connecticut,58355,Serbia
78,"302 Bailey Overpass Suite 527
North Shanetown, AR 41929",Stevensburgh,Montana,45525,Guinea
79,"19837 Brenda Plains Apt. 222
Schneiderport, KS 48135",New Tylermouth,Virginia,92037,Montserrat
80,"531 Kimberly Wells Suite 630
Mariashire, OK 80640",Leeview,California,66406,Aruba
81,"Unit 0469 Box 4159
DPO AA 72234",Matthewberg,Washington,52159,Belarus
82,"73978 Jesse Spur Suite 570
Burkeport, HI 08109",New Jay,Connecticut,43675,Mongolia
83,"1117 Anthony Forge
Lake Kimville, OR 68909",Whiteburgh,New York,11118,Belarus
84,"15806 Steven Neck
Webbville, ID 26256",Johntown,New Mexico,39725,El Salvador
85,"8563 Charles Forges Apt. 550
North Daltonberg, PR 04119",Lake Carolfurt,Georgia,38560,Luxembourg
86,"1717 Paul Center Apt. 511
Youngbury, SC 81098",West Spencerberg,Delaware,22431,Hong Kong
87,"934 Brittany Stravenue
Joshuatown, ND 62878",South Caitlin,South Carolina,45193,Bolivia
88,"4806 Bowman Ports Suite 945
Lake Kellyhaven, NJ 93730",Jacksonport,California,94504,Dominican Republic
89,"3505 Morgan Groves
Lake Carolinechester, MT 85986",Browntown,Alabama,60395,Saint Vincent and the Grenadines
90,"22358 Victoria Radial Suite 037
Millerview, OH 91813",Victorview,New Jersey,47280,Tuvalu
91,"44411 Medina Islands
Richardton, CO 31835",New Miguelshire,Kentucky,93564,Malaysia
92,"102 Williams Brooks
East Scottstad, VA 54185",Goodside,Indiana,74227,North Macedonia
93,"437 Christopher Vista Suite 705
Whitneystad, CT 75217",South Josephfurt,Missouri,20741,Portugal
94,"PSC 2583, Box 7257
APO AP 72679",Colefurt,Idaho,62052,Slovakia (Slovak Republic)
95,"PSC 1072, Box 8478
APO AP 12282",West Renee,Rhode Island,59355,Kuwait
96,"205 Brooks Branch
North Johnmouth, KY 71815",Lake Linda,Kentucky,62464,Grenada
97,"063 Michael Plains
Port Regina, CA 58526",South Robert,Iowa,39513,United States Virgin Islands
98,"742 Jackson Estate Suite 736
New Arthurmouth, GA 47171",Sullivanberg,Ohio,62456,United States of America
99,"838 Williams Landing
Vargasburgh, GA 17338",Port Codyport,Maine,8223,Saint Pierre and Miquelon
100,"8878 Lynch Rapid
Emilyville, MA 79361",South Wendyburgh,Minnesota,62907,Estonia
101,"3608 Matthew Turnpike
Port Taylor, AL 01320",Jeffreyland,Ohio,40711,Slovenia
102,"443 Stevens Alley
Danielmouth, HI 31955",Lake Elizabethview,Kansas,58013,Germany
103,"266 Gonzales Fort Apt. 646
Lake Heather, RI 75510",Shahside,Colorado,36230,Faroe Islands
104,"40781 Davis Pike Suite 769
North Toddchester, UT 31802",Lake Nathanhaven,Texas,40122,Antigua and Barbuda
105,"9610 David Forges
Lake Louismouth, HI 67523",Walterbury,Kentucky,72368,Greenland
106,"06052 Ashley Brooks Suite 055
West Patrick, MS 15592",New Thomas,New Jersey,22643,Myanmar
107,"158 Cheryl Parks
South Sarah, CT 34032",Lake Shannonport,Maryland,26840,Chad
108,"838 Wall Hollow Apt. 446
Hintonside, MA 18158",Debbieland,New Jersey,82111,Saint Pierre and Miquelon
109,"066 Green Fort Suite 309
Rachelside, MD 26627",Lake Adrian,Oregon,46402,Algeria
110,"92646 Brandon Cove Apt. 508
North Morganshire, PA 43763",Lake Leslie,West Virginia,95198,Cook Islands
111,"177 Garcia Road Suite 471
Chenton, HI 08272",North Katelyn,North Carolina,71952,Mayotte
112,"3390 Vazquez Hill
Hammondstad, AS 47699",Bennettmouth,California,42917,Suriname
113,"90992 Wilson Cliff Suite 529
North Kristin, TX 09159",Lake Laura,Michigan,7321,Netherlands
114,"93696 Lawson Valleys
Sarahside, VT 50893",East Pamelaside,South Carolina,23874,Germany
115,"424 Bryan Inlet
New Christy, MP 86014",Wolfhaven,Montana,49847,Latvia
116,"58507 Carpenter Lake
East Raymondburgh, RI 61182",South Daltonburgh,South Carolina,36000,Oman
117,"00659 Lester Roads
Sheppardport, KS 68161",East Loriview,Nevada,55241,Somalia
118,"29164 Harris Well Suite 899
South Ericside, WY 66073",Terristad,Texas,23973,Canada
119,"5495 Tiffany Square
South Morgan, WV 01163",East Elizabethmouth,New Hampshire,99302,Greenland
120,"0355 Thomas Ramp Apt. 040
Longton, MI 01054",North Heathermouth,New Jersey,62187,South Africa
121,"42047 Cole Alley Apt. 405
North Dianashire, AL 23263",South Christopherland,New York,44276,Niger
122,"342 Jo Greens
North Williambury, ND 38428",South Johnstad,Massachusetts,73330,Cayman Islands
123,"554 Jeremy Pike
Allenberg, CT 11427",Timothyburgh,Alabama,7953,Seychelles
124,"6049 Shaw Ranch
Pettyview, VT 11992",Fisherport,New Hampshire,17557,Jersey
125,"03124 Long Locks
South Martin, ND 89721",New Mitchell,Maryland,68142,Finland
126,"91580 Roberts Alley
New Marcusport, MA 32752",West Richard,Kansas,75236,South Africa
127,"4192 Brown Rapids Apt. 807
Jonesview, NV 18603",East Monicafort,North Dakota,79370,Barbados
128,"USCGC Wilson
FPO AP 95123",Browntown,New Mexico,1612,Antigua and Barbuda
129,"49274 Robert Street Suite 151
West Ashleyshire, OH 91332",Melaniechester,Oklahoma,68122,Morocco
130,"9705 Camacho Mall
Port Raymond, ME 21353",South Jennifermouth,Kentucky,99057,Jersey
131,"743 Grant Center Suite 046
East Brittanyburgh, NC 57094",Robertfurt,Wyoming,84260,South Africa
132,"2670 Richards Rapid
Johnsonchester, LA 30589",Davishaven,Minnesota,46503,Turkey
133,"44714 Ramirez Greens
New Allison, WY 97530",Sheltonmouth,Arkansas,77153,Tuvalu
134,"325 Hunt Passage
East Karen, KS 75547",East Shane,Vermont,98969,United Arab Emirates
135,"65158 Bradford Flats
Faulknerport, ID 77964",South Lori,North Dakota,2605,North Macedonia
136,"70387 George Mills
Johnstad, AS 32224",Richardshire,Michigan,3740,Luxembourg
137,"0416 Nelson Drive Suite 205
New Dianaton, NJ 17819",Barnettfurt,Hawaii,99814,Seychelles
138,"9033 Wendy Dale Suite 203
Carpentermouth, CA 25515",Reynoldsport,Wisconsin,75872,Bulgaria
139,"91879 Anne Oval
Michaelburgh, PA 81929",Stanleyton,Idaho,31698,Micronesia
